train_loss_step,step,epoch,lr-Adam,val_loss,train_loss_epoch
,0,,0.001,,
,49,,0.001,,
0.8688933849334717,49,0,,,
,63,0,,0.8592410683631897,
,63,0,,,0.9350257515907288
,64,,0.001,,
,99,,0.001,,
0.8245111703872681,99,1,,,
,127,1,,0.847870945930481,
,127,1,,,0.8504993319511414
,128,,0.001,,
,149,,0.001,,
0.8351827263832092,149,2,,,
,191,2,,0.8146474361419678,
,191,2,,,0.8253860473632812
,192,,0.001,,
,199,,0.001,,
0.8145524859428406,199,3,,,
,249,,0.001,,
0.8077722787857056,249,3,,,
,255,3,,0.804265558719635,
,255,3,,,0.8003209829330444
,256,,0.001,,
,299,,0.001,,
0.7816311717033386,299,4,,,
,319,4,,0.8050393462181091,
,319,4,,,0.7967846989631653
,320,,0.001,,
,349,,0.001,,
0.8010860085487366,349,5,,,
,383,5,,0.8024718761444092,
,383,5,,,0.7961907386779785
,384,,0.001,,
,399,,0.001,,
0.7980561852455139,399,6,,,
,447,6,,0.8025068640708923,
,447,6,,,0.7955801486968994
,448,,0.001,,
,449,,0.001,,
0.8199944496154785,449,7,,,
,499,,0.001,,
0.8177283406257629,499,7,,,
,511,7,,0.8012323975563049,
,511,7,,,0.7946520447731018
,512,,0.001,,
,549,,0.001,,
0.7892529964447021,549,8,,,
,575,8,,0.8006239533424377,
,575,8,,,0.7946653366088867
,576,,0.001,,
,599,,0.001,,
0.816107988357544,599,9,,,
,639,9,,0.8001156449317932,
,639,9,,,0.7935171127319336
,640,,0.001,,
,649,,0.001,,
0.7846202850341797,649,10,,,
,699,,0.001,,
0.8141089081764221,699,10,,,
